,0,1,accuracy,macro avg,weighted avg
precision,0.8718048024786987,0.6356895699456253,0.8229092025795884,0.7537471862121621,0.8167217218212237
recall,0.9016021361815755,0.564282580078982,0.8229092025795884,0.7329423581302787,0.8229092025795884
f1-score,0.8864531373063796,0.597861459786146,0.8229092025795884,0.7421572985462628,0.8191278805688822
support,7490.0,2279.0,0.8229092025795884,9769.0,9769.0
